id,size,"custom label"
"9ae908c5-a8e5-4742-91b2-82f59ed72b3f","XXS","ignore"
"4223c950-9529-4091-9744-c039726e9dc4","XXL","low"
"c5b15fe3-a98a-4255-a318-97255bd97823","11","low"
"e38f6999-8737-4af3-bad7-1191655ab470","7","ignore"
"385be355-5cff-450f-86fe-312390679582","XL","ignore"
"f43584ab-a613-4649-97b5-accea0cfc987","M","high"
"b7ed8af5-07da-43c7-b036-8be1c35a5968","5","NA"
"51aa6199-95d4-4a2a-9e7a-56f39eaf6865","5","high"
"b89ed9b6-0dbb-4014-8625-9d8799520245","7","ignore"
"d00f6f76-5525-4dfc-b6c4-f6b51e4122eb","5","low"
"bf5817d7-cf5a-4af4-8115-02a59e2fa577","XL","high"
"1fc355d7-0325-47f4-821d-b5ebf51995e8","XL","high"
"873856f0-d0ab-4dc2-a852-fb897ade892c","12","low"
"ecc9c030-9b08-436b-a88b-5219da6dd8ff","XXL","low"
"23e51473-ed2a-43aa-9ca8-f232c8c45456","3","low"
"e7cc621c-3702-4dc8-8105-c79f81ce818c","7","ignore"
"0ff0dbd4-bf7f-4da8-bf54-6bfe8149b449","6","ignore"
"a72554a0-baa2-4d6e-8762-a4523944ef50","5","high"
"03fb7ff4-c5e0-4b47-b447-8fb0d8ce9b0a","6","low"
"446799c7-d351-4130-8f09-a0c271cda474","XXXL","ignore"
"a98da36f-22db-49d5-9b6d-777abd9dbe55","8","high"
"97d38b4f-acd9-4516-b5d1-403c672d8a58","13","ignore"
"a00045dd-625d-4ca6-92c4-1bef85ef40e5","10","ignore"
"ffb277db-d5d4-4ee1-b992-bae5487a5174","5","medium"
"2b17a04a-34b0-451e-ae27-f8ae7e41dd10","3","low"
"14f38467-d454-4af2-b46e-83a5c557ab33","11","high"
"e822f8fa-91cd-4524-ad44-200efaa4dc7e","12","ignore"
"e94a2370-db02-40a1-a0a1-d103d34ac008","XL","NA"
"301a9ede-2013-4b93-9a2b-a16e1ed312b5","XXL","NA"
"43a4be7f-3672-4a95-b546-c7311cdb1b72","XXL","high"
"d2155b87-c0f7-4c60-8fa3-3dbb679bec95","11","ignore"
"79053dc4-da03-4619-975e-4e085ef03b60","XL","medium"
"a5c19f3a-39fa-4b36-9da5-4e412bb34fdf","XXS","ignore"
"2408d570-3a7a-47c1-bbdc-6d41b20d30fa","XXXL","high"
"133e0d70-827d-41a8-a634-552bd0ff5f87","XXS","high"
"203baf61-249c-4e37-8769-c2f4ca57756a","L","ignore"
"87c2d04f-04df-48d4-965b-9eb514d7794b","L","high"
"442ebf79-fb49-4225-b7a2-30b9f9c7bbd3","XXL","NA"
"950ea70e-662b-45ab-a434-16d58ef16254","12","ignore"
"502eb7f0-7c29-4fd5-b80b-71ebb43a8f8c","L","medium"
"a6361269-1f53-47dd-98c6-91d37b0f3b89","7","medium"
"8eae6d69-6b4e-44be-97df-ecab2001381a","8","NA"
"aaec7f84-328b-48db-bf5e-e137fdae3d22","XXL","high"
"030dd812-a167-44b0-99cd-5c5d1c0a82fd","10","low"
"386622c7-09ef-46b3-9cbf-807a5162c1f4","3","medium"
"1d1ad16e-da6c-40c5-acd5-fd171ca995db","6","medium"
"613c68c9-402e-4f7f-af6a-f44194e4a223","8","ignore"
"c15c5657-54e5-4f26-9e7a-5360ea991ef8","12","low"
"17683919-1437-4a5d-b344-d21f7268a66b","7","ignore"
"b5352626-3135-4dcf-b080-7e347b50978c","10","medium"
"2b8adeeb-234a-488d-b0c1-53d0d8615421","3","ignore"
"84c08340-72bf-4fad-bc00-8390c09e4715","M","high"
"66add959-3437-4637-b588-87801c6409fd","12","medium"
"385f757f-9ab7-4160-91d6-b521b9910bcb","9","low"
"f50027f9-f00d-4d69-8247-78276681f656","XXXL","high"
"78a66828-88fa-44be-84e2-1ddbeeb5687e","5","high"
"c120f244-5a85-4d5c-945d-f6239c3468c3","XXL","medium"
"14745803-60ed-4c3f-9fd4-d3653e3b91bf","XL","ignore"
"86e243c2-5144-4670-a716-db3f31c6f61e","XS","high"
"c7ccf35f-e596-420f-8750-3cc3aa3145f0","XXS","medium"
"c82c6d54-e047-471a-a235-932c5ef433aa","13","NA"
"56e0e7e2-15d0-486c-b4aa-9e8b8792dfab","5","high"
"6bd13c6b-5932-44e8-8da3-113caeb4178f","XL","low"
"8e4719eb-e6a2-4600-a1c0-441de5108331","S","ignore"
"ef3d0553-81cc-4402-9fd5-f62f0e5778ec","XS","medium"
"c26aa946-2740-4b5f-802b-57382ba1c5b1","14","medium"
"30a67933-36c0-4cd4-bd5c-0c297d09620f","14","low"
"6608b905-30cd-40b1-b963-8b0fc17302ec","12","low"
"323d831b-5d62-46b6-ad87-a371adef605d","S","low"
"3607c3c5-5308-4530-a46a-780b973b1f12","7","medium"
"610d5f7d-d8ee-40dd-b476-6e5de9693832","M","high"
"f04a0efe-1e6a-492c-abaa-b2e41ca43ab0","8","ignore"
"479fdadf-2602-4133-9dfe-9088edf4d628","11","high"
"330b48a6-ef19-4c06-9614-0f316849e3fc","13","ignore"
"767fe9a2-d592-4226-857e-5647df6b361c","3","medium"
"0f785536-4e4b-46c1-9cb9-a7484c7ee560","S","high"
"c5aaf3b3-9876-4e21-be58-e5597e971bd0","10","ignore"
"8e4dedbe-85ea-4dda-bbc2-ccadd8d00a38","XXL","low"
"a03cf20b-f0f1-4be1-af52-6e1d6e9df430","L","NA"
"d00a8230-db01-4171-878b-85fc6c37c66a","5","high"
"ca8385b9-271e-4613-80f3-4b8680653d76","S","low"
"17122661-03d0-4656-8703-45b4df94ac85","XXS","medium"
"bdce255d-ab59-4ab5-afa0-d504dcc97b26","13","medium"
"6a342e12-1f89-4fc4-89f6-a8e4c0c0c01e","11","medium"
"a67cdefe-8132-4ff0-ad12-a585946b481b","3","NA"
"c9730466-a66b-4f3f-9c62-72cad5301987","6","low"
"bfc7ed6c-841c-4a2f-9791-cc51dbccbe3b","XXL","high"
"83dbd520-082e-4383-9b00-f598e43fda59","M","medium"
"be687414-56a1-4929-bfde-929bbd467649","12","low"
"e6a98e91-c8d4-4912-b89c-fb17f735dd36","XS","NA"
"0879934c-5a24-4bd5-9a10-c896dce887db","L","ignore"
"a6213ec3-57d7-495e-a6c3-ca28feeec85c","XXL","high"
"78335245-bf49-4706-ac7b-00c24c3ab44a","L","medium"
"201ecea7-1b92-4432-bdfd-48b899e00e43","6","NA"
"fa68c3ac-e9f4-4516-b8c6-5b8d3a5f5f9f","10","high"
"05f74df0-624d-4c4d-9993-9bf85bf4ca1a","11","high"
"963efe2c-7085-422d-a727-34a1ac5475b9","5","high"
"fff94c24-2700-4332-af22-f423091100a9","L","medium"
"a9a7b0aa-3e50-4c5e-af6b-e9c33d8edc86","12","ignore"
"b5b1c40e-d264-46e0-a651-c0df4e654f4e","10","ignore"
"5f983107-f959-43b9-8633-9472ce05463a","S","ignore"
"d4118254-3c1f-47d7-9193-204098ad1baf","M","medium"
"736ded1d-e75c-4c32-9941-1bcde5df4001","10","low"
"26cf707c-9831-41e9-b379-175f22b209ba","5","low"
"0ee72fd8-5cbd-4ecc-b222-2945e30836f3","3","medium"
"31836408-9353-445a-b3ea-663657490428","M","NA"
"dac54e5e-ba2f-492c-a7fe-e956c0a735de","3","medium"
"4a80f9b5-30e5-4d4c-8abc-652649ed1ea4","8","ignore"
"d623303a-75c4-4921-9241-c1e1209bebdc","11","medium"
"14f2b0eb-1818-4c92-8769-d14ca81a143b","14","high"
"73fffb30-1fdc-4b5c-8c7c-847503a1bb52","11","NA"
"551d67f3-e520-41fd-9c89-f2ddb6f229d8","7","ignore"
"dabe93f5-ed94-471d-a00b-11a6569117ec","6","high"
"0172878d-6545-4aa5-9c28-046d0fa3f53c","8","ignore"
"3cf89844-8346-49f2-b709-9c82abb0b2d2","8","low"
"395e1f32-fcec-4adf-880d-7f7cd2d8f72d","3","NA"
"b9d0ec16-23ea-4ffa-83be-7674650363ed","L","ignore"
"e2b74484-69ed-4a6c-bc83-04350f8af8ea","3","ignore"
"2715109c-7820-4569-a93c-236ecd4d169d","5","medium"
"9f9565ab-ae5e-4fa4-ad00-f7270be409fd","M","medium"
"48eac0dd-91eb-4d74-9da0-a746a1222fd7","10","ignore"
"0a4f45e3-c895-4104-a756-e9016ff628ef","S","ignore"
"5b9ee703-838d-43e7-bfe6-f17ea535d9d0","11","NA"
"1e8bdfd0-1dc1-4c56-8064-af6333cca7a8","3","NA"
"ddd6252b-9565-446a-90d1-c0ed9a2bba39","L","high"
"96344a4c-a655-434a-974b-033f5163726b","XXXL","ignore"
"49c86d6a-e660-49dc-a9c3-5af886edf935","8","low"
"921e25fd-04e7-4002-bb8b-fb740078a218","10","high"
"babd5ceb-fa6e-41df-83c8-5588520d8bcd","S","ignore"
"3a625679-5ab9-42f8-b51f-66bdcdceff95","7","low"
"56c6135f-e9ef-4723-b67a-87441c6204a2","4","low"
"e53e4b4c-7021-4647-83c1-9c8ad7a5a2f8","XXXL","NA"
"f316f986-7b30-4113-9f06-3572651494b2","11","high"
"5944df19-12a2-41d6-8641-54753eb50d2f","L","high"
"eeb956f9-13b1-4edf-a874-72990ee15ff6","11","medium"
"c2fed8ee-9c98-42f3-bd44-f74316f18b20","XS","ignore"
"dab926b3-d905-4237-8c54-d2f8b07cfda2","S","high"
"7ea2add0-2c29-4d4d-9f01-51d791364764","XXS","medium"
"79df6627-084e-476f-a2c1-65c7b74c1fda","XXL","low"
"bc6f4887-f258-4984-bc98-9275dc19bd6c","11","medium"
"4ecd1c7e-e067-4369-b625-68f43e893071","5","medium"
"80a8b22e-9f47-4c09-9bef-ac46eefb77ba","3","low"
"3c477d7e-42a5-4f01-a351-9f46d2d6c010","11","high"
"1a3b7490-9a51-42e1-b3d8-538b97151f7c","9","medium"
"fa5c57eb-dac3-4425-a001-a59addfaaec0","11","ignore"
"fe81f002-2529-44fa-8ae5-dd940ddcdd97","5","high"
"04eaec4e-9022-454a-8141-69b906455d21","8","medium"
"c657ee5a-0f11-412f-9977-5a8d25dc6a3d","12","high"
"53f1aae6-5c9f-4118-b936-37aac422e12f","XXXL","high"
"de060961-2d9c-45c4-bab2-6641a1195fd2","12","low"
"8c20f411-e62b-4c72-86cb-75ed580391b0","XXXL","ignore"
"9383d0ad-5853-4db9-8d5b-72fe8b56a292","9","medium"
"c2d93834-f800-41c2-a3b9-463a8bbb52c2","9","high"
"17826df1-b529-4374-bbfb-7a70007ab4ff","7","low"
"e771cecd-8767-452b-8211-b607d6abc8e0","S","ignore"
"fa2d0280-2370-4806-ba9c-18b8703867a7","5","medium"
"69ee1389-74aa-4caf-9bac-132bca1684d4","13","ignore"
"e0920957-2bc1-4a4e-8b7f-0aadfc02321a","5","medium"
"ed7d2916-b90a-44d9-a015-85be9e103411","8","NA"
"ddd7bf32-cf94-4a87-9378-f6157891b5f0","8","low"
"6a56564a-9f7e-4377-87a1-347a607ad4c2","L","low"
"c091411e-9923-4e26-a078-4517b5d98aa1","S","medium"
"31e4e952-4bcc-43c8-a599-8b5e7916ebff","8","medium"
"08ba011f-092f-40f9-88ad-0f1bd9d893a6","XXS","low"
"1d9a4de7-8e01-49ab-bba7-8ba5df7f3154","14","medium"
"8c6fe7ad-0aa8-4326-8866-1b7b14434def","14","ignore"
"6d2227b6-6f83-45fd-913b-524c39152216","L","high"
"8a05dde0-1031-48b5-b3e4-f7fd5c8f1c73","11","low"
"22c8d6d6-283b-4014-be25-05fb784ebdf4","8","medium"
"3b24ea36-fef5-42ed-ade0-1ba2712109da","XXL","low"
"1985a5af-daa5-4940-9b9d-0d2863adb0c3","L","high"
"10f9dc83-7b96-4198-96c0-aa8978606148","M","medium"
"e94f1460-fd0b-45dd-bdf3-45cf47bdad5f","XL","NA"
"78829b65-5a6f-433d-83ff-3b9abab83b21","XXS","medium"
"b279bf42-fd15-4efd-b6b5-3c4d601f6e98","11","ignore"
"e2480398-30b6-44d9-b3b8-2ab458767681","L","low"
"b69b2e42-8f45-43d3-9ad0-a9c607475d23","L","high"
"95147561-1042-4a47-8219-0f56e6313e52","11","NA"
"5132b8f7-5ba5-49ff-9273-24c866248554","6","ignore"
"af9f09bb-6236-4c54-9c62-8e889fc01f4e","5","NA"
"ac24d608-18ac-4115-8311-4a8263891d2f","10","high"
"6d8b76a0-8610-4a4c-a3c8-4d50881b5745","XXS","high"
"79fb45b6-c72d-43cb-8ebb-28cc67dc7a0d","9","low"
"f6a636a7-56ac-45f5-9a87-7527b20b25c1","XS","low"
"4e27904a-34fa-4186-82ac-61431a7446d8","10","ignore"
"b358701c-5278-4532-a07f-90bffbe0bc72","7","NA"
"6489ca15-c226-40dc-b688-c6d47e088c91","S","ignore"
"25df18c4-00fd-4259-ab28-a3389809b748","13","NA"
"29b9624b-a3b1-4e35-82e5-a2b52171b477","14","high"
"d9ebb204-f390-4992-9bd5-1c16bebe79f3","14","medium"
"ac147218-f027-48b5-9ef5-189dc5ef20e2","XXL","high"
"8068218e-a00e-45dc-a5cc-4586bb912b29","M","NA"
"84f06d0a-cac6-4612-89b8-5408a3a20ad1","XS","low"
"d9791618-4cef-431b-a243-95975f30259b","4","NA"
"de65e1bb-9cbc-4d80-85a4-12a36c77c64e","S","NA"
"bcbb9a31-8f59-4b0b-89bc-bc6c19da15d3","3","low"
"3f9f9d38-6e72-45ee-997f-d4bb2b7bdd35","11","high"
"d44e9b73-0403-4828-bf21-5d2cb12f38ab","3","ignore"
"b29d3308-b718-4cb7-87cd-282137ac5930","12","medium"
"81091aa2-5795-4cd6-8b94-b5607680ddd6","8","NA"
"5a97005f-2620-42d3-9ca5-a0bce76592b1","3","low"
"8de252ed-af88-46db-b7f2-f989a7570a17","5","medium"
"1b988e1e-d4bf-44b7-a50f-ff948886d650","S","high"
"81762f76-101b-4f32-9721-f25986b18a14","14","ignore"
"63cc8350-e2bf-414c-87b0-2863098dca1c","13","NA"
"212f95ab-d08e-4bc1-b5be-ff331bb8f4df","4","high"
"5826c4b7-6134-4597-9200-5c8103aa1261","8","medium"
"57beecd1-fe79-467b-b9fa-091af59fc2c7","L","low"
"75ad4764-a4d9-4583-9a2d-a90dbcaee66d","7","high"
"c0a68ab4-b10d-4ad4-9d19-3624c78d916d","13","high"
"db6b2df2-d4c5-4cae-a737-8fb014d7567e","6","ignore"
"7573866a-364b-4900-8c85-a9f42a73d05d","XS","medium"
"ddfbdf73-891a-4b95-81e0-f7c26204bec7","XL","ignore"
"d968e31d-64b5-447e-a83d-d0a75b07dbdc","7","medium"
"9558d499-534e-4e29-94b3-02bac9fe5ab9","L","NA"
"82a58104-e090-40c2-a519-bf55c93c0d54","7","high"
"69253b85-2701-4d66-9bb8-09a60b7a9929","L","ignore"
"2a61455b-60ea-4339-a4b1-0efefe2bd104","14","NA"
"8de4e086-9d57-4ad7-ac8b-e15af4644a6f","3","low"
"8158997e-7eb3-43f9-8265-bd2ff41b7b77","XXL","medium"
"d1bdea6f-2f20-417b-8135-fd7eb6b1e5d6","S","high"
"14561cc3-c713-4ec5-9c51-d0ea64df92f8","6","ignore"
"6d9a8d0b-85e0-4b3d-aeea-d0881bb1cb1a","S","high"
"f0aff263-b91a-4b1b-ace0-832d817907bd","4","ignore"
"76b0857d-0292-4062-85fd-98678c9c840e","9","NA"
"0f64c496-fab3-4431-b60d-e381e9f9e1f9","14","medium"
"9128e8ed-2204-4357-a789-62f50e89599a","4","low"
"fc1a51ee-0688-48e5-95ea-776063d97ff4","11","high"
"7540625d-e516-4282-b498-e2da70b92bf5","14","medium"
"d71f8627-2798-4606-bcf3-bec5d8ad232d","XS","ignore"
"c6c4649a-4db2-44a0-afcc-f29f45f3922a","XXL","ignore"
"bc509bb5-37f9-4a04-94f3-e37ffcda7dcd","5","ignore"
"651ca9d2-31e1-4a13-91ba-f1f53014a8d9","13","high"
"8451cdbd-f78b-40e1-b74d-da81db26062e","6","low"
"96f4fb0a-3f01-4b19-8ba6-5acdd3c44114","XXXL","high"
"d7369ff0-69cc-48d6-a217-0fb6503f7b31","6","ignore"
"196665b4-119b-4cd0-a731-c54f2aff3651","4","high"
"ed80b7f6-15a7-4aa5-8b59-b084d18ea944","8","high"
"0a18c10e-9fcf-4d58-bbb6-9b24469ded2e","M","NA"
"3c3f2f4e-0fc3-4e25-a424-16750f7aa760","XL","ignore"
"7142139f-a5a4-45b6-888a-3ad4723330c4","M","low"
"25e47c02-873b-4b1a-b7ef-d03c2a17a595","7","high"
"1f444943-0362-4296-84ef-9edcf9ed14b6","5","NA"
"6ab63809-4712-4e18-be44-73925401f6be","XXL","medium"
"b5c1b2c3-981a-4047-8f9e-af1eb25121e2","13","medium"
"6125f548-7e44-46d0-837f-8a17c1140968","6","medium"
"d0d689c2-82fe-4748-aa61-421ad9d427f2","XXS","high"
"961aaeef-0a86-493f-902c-6bf4cb95d80b","14","NA"
"bdc849bf-1913-4c5b-a44d-bdf3c5f5d9ba","XXXL","low"
"a877c3dd-c9bd-4a62-ba4f-d7a7aa205b95","12","NA"
"1ec54c30-1a0b-42f3-8cbf-2d0c62b8b253","L","NA"
"6ca8b534-139e-4921-b876-95a9d0d2adf4","XL","low"
"a3a804cb-239d-4033-96b4-06f0e9f4bb80","XXS","NA"
"b133b2ef-ead4-4e0d-9954-54e338307d2a","10","high"
"056127e6-9d14-4e2c-812d-8efe83b0c3e7","XXXL","low"
"4da74077-4d37-479c-9228-ea5a2b7d8002","9","ignore"
"34c343b9-27f7-49d7-8c29-a69bf5ccfd04","XXS","ignore"
"2d9214c4-53a4-4ea9-af80-6169b501ee38","5","medium"
"c99e3303-db51-4e37-8954-3561181f5037","S","high"
"de52d2d3-d558-4794-8b0e-334d400ac2f9","XS","NA"
"ee0c4082-cc5b-45ac-8215-398e190befc5","5","NA"
"8bcaac1d-b972-40d5-b5bf-5c31b9380935","M","medium"
"aacc2f8b-7eaa-4654-bf0a-3e46c0a7f25b","XXXL","NA"
"29efff2f-541a-45cc-9489-bfcad7dbd2f0","10","high"
"49450c60-470f-4986-a93e-4bd909afce9b","11","medium"
"9241ff3b-4325-4de9-956c-31f3bbabaf93","5","medium"
"db6d4c64-18b6-4d78-b167-5959257d12e6","7","high"
"cd4c9ac9-8887-43db-bcb4-3702c8abd984","3","ignore"
"ef2721f6-acee-4f51-9467-290dc296d81a","12","high"
"b8dc1b51-c828-4a59-be54-8ddd5eb1da26","11","medium"
"70328a55-c002-459f-844d-3b13d66ada01","11","ignore"
"8011f5e9-d12a-4238-a790-1b03580c06bc","XXS","low"
"c6f23cd7-6dce-4ca0-b48f-07ff98eb3587","6","low"
"2e3c8ce9-72c2-45a3-a095-e3643dadb9c6","XL","ignore"
"9cd7bcca-f311-453b-b530-748e23f8543d","XXL","high"
"39a68888-3ada-4814-a041-eac38cefc033","3","ignore"
"49bd49ab-c233-4949-b116-23c4cff1c8bd","XXS","NA"
"c31dd2e5-9b5c-4930-a33d-2825fed677df","14","low"
"00116a47-131b-415c-8525-5e21a358d21d","XXXL","low"
"8287977b-6c51-45e9-8fbf-cd2ddb2bd748","7","ignore"
"f9fe1c41-d164-4f7d-a02f-385503dd7794","8","low"
"ebf06a23-eb1f-47ab-ae80-beafa90f239c","XXS","medium"
"9b45d43e-11b9-413d-87eb-3de6c3202ac9","6","ignore"
"3fbffffc-e2be-4a5e-a09e-b1f2eeed0b88","XXS","medium"
"09257aca-c73a-479e-8fc7-6fb82181622e","M","high"
"6524f172-fc4c-40f7-aa71-cb9e9081fbf1","4","NA"
"d28d6a7a-ad5d-4391-859f-410dfea1a721","XS","high"
"a62ebdda-3a36-4bd5-be0c-7011c3088acf","8","high"
"df380cd3-a14a-4250-afef-e7dee95058bb","XXXL","medium"
"57bfe98c-0d91-4d55-9230-b29e63c6fca0","9","NA"
"6d6a076d-8dde-4454-bff9-d6cc389c125c","S","medium"
"e854dfc4-0c9f-43b7-bedb-ec2176bfd473","4","medium"
"acb041b9-28da-4448-94b3-57e4961f3a7b","13","low"
"4bf575f9-0153-4a94-b91a-6e72c4534d19","L","medium"
"661c2ef9-b52d-42d0-b73b-d858929b2469","14","ignore"
"68290fe2-272d-40ca-9a86-49a5fdc17c1d","3","high"
"e88db5f1-4686-432c-8cef-ee0dbd49af7a","M","medium"
"6298e99c-ac1c-44e1-baa1-c443d2fdeb2d","7","high"
"cce4e1a8-1439-47d7-82f0-2a10fecb8939","8","high"
"c18cc77c-fc88-4a37-a048-44fda9647063","3","low"
"c81bfb12-e3b9-41c4-842a-58d74dd84802","XXS","medium"
"27db45f7-018c-4953-8762-02f279c3486c","3","ignore"
"bc9a5343-6440-4159-b464-cea1547ffc27","XXL","low"
"62e0f9c0-d6eb-48cf-b607-23df039de21b","7","medium"
"801d21e1-c0ee-49be-88e5-fc27ebff0c82","12","low"
"07df006c-4566-4fef-a1ab-26e194e0343d","7","low"
"44be772c-8826-4c09-96b0-592ea1026b3e","4","medium"
"c0ce994f-ed1f-4418-98d0-99ddacef6df7","7","NA"
"09b8a485-ac84-44a7-909b-a0c89428c0ef","8","high"
"bee4c14f-e62b-414e-a735-ae097c8aef9b","XL","ignore"
"605037b8-47b6-4853-bc31-1cace498f963","4","high"
"493dd2b9-de74-4dc8-91ab-b66cf8bb4144","XL","ignore"
"00dfcce6-aeff-4311-b008-a89ee4bf3476","4","high"
"45972a70-681e-4f4c-ae90-ba385fcbd4d7","XXL","low"
"1d72e101-b2ee-4d1c-97f2-6cc088a4cf09","XXXL","low"
"e2b4dbcf-6820-4058-ae8b-5eeddb77bd7f","XL","ignore"
"df6e0b07-0a4c-4d7e-be15-70c516891668","14","ignore"
"0562d42d-1355-4f23-ac88-131025d3551a","3","low"
"c6efbfaa-40fe-46af-839c-08e4d9271121","13","low"
"378c4464-fbba-4d82-8d18-e426069692af","13","low"
"f17c3080-5132-47fa-a075-c8775be25d32","3","low"
"4df826dd-1140-4db5-aca4-dc390e139fee","3","high"
"7a8d6091-44a6-46d6-816e-ef3cdfcaee96","14","NA"
"63731273-3403-4422-a69e-f15e48902d50","XXXL","low"
"f37cae0d-c721-4379-8a14-539a78348932","6","medium"
"85830386-5363-4a6b-8dd8-ba1d94aeac62","M","high"
"39fe340d-5889-4fa3-a64f-2cf5c877d079","8","high"
"0f223f37-a9d6-4198-96fc-ac35d3ed87ac","8","medium"
"0bde1667-f3d5-4460-b6da-6effe8fd8189","13","high"
"6426f7cc-b203-4cfa-8ca8-c07864d89214","M","ignore"
"c9a75062-df42-45df-bbdf-0a9386c22079","9","ignore"
"7c9905f8-cc3b-431f-84a8-c6775e9c9c0d","12","low"
"fe7e2a3c-fb0d-4cb6-ba94-faf02f997e9f","12","medium"
"48d09d29-176d-4e12-a997-8918c0207d61","L","high"
"bb733c92-dced-4bd7-b74a-c0e4a0a42f38","13","ignore"
"716292d7-5602-4b68-a2dc-eb9ec5f5c41b","6","high"
"b5002d4a-5764-4959-99e8-00c43d1072c8","XS","NA"
"f94b960a-d538-4459-95d6-757ccbbd332e","XL","NA"
"d8dbf8ba-ee5b-4f88-abfe-86fced7da4ed","5","NA"
"54a475e1-a807-45dd-9707-9a2951e24918","10","medium"
"58a90225-c9be-4886-be1a-617afc346a85","3","NA"
"c2813f09-1c41-495e-b962-348bcc4e4b2f","3","medium"
"32d7547e-47db-4e49-b21d-679ef1187c18","11","NA"
"8c661591-aca2-45d1-ac69-a9b4d4cb1aff","13","medium"
"52063253-0c3e-451e-9ecd-d39f56a54e43","S","medium"
"fb0bc73e-d207-40ec-aafb-4f09e154d54c","L","medium"
